437,353,502,353,502,372,437,372,157-159
395,378,459,376,459,393,395,395,157-159
533,1062,604,1062,604,1079,533,1079,SAMSUNG
394,216,449,216,449,236,394,236,DONG
284,520,370,518,370,536,284,538,DESCRIPTION
638,30,744,30,744,66,638,67,DOANH)
860,1129,929,1127,930,1145,860,1147,MANAGER
428,238,476,237,476,255,428,256,THANH
677,195,743,194,743,212,677,213,DELIVERY
711,172,749,170,749,189,712,190,GIAO
815,488,868,488,868,505,816,505,THANH
666,258,754,258,754,278,666,277,2019-07-03
841,305,915,305,915,324,841,324,CURRENCY
437,106,484,106,484,126,437,126,LIEN
129,444,188,443,188,461,129,462,PRODUCT
340,355,426,353,427,372,340,374,CELLPHONES
535,72,599,71,599,100,535,101,(FOR
295,410,344,410,344,427,295,427,KHACH
836,193,902,192,902,209,836,209,DELIVERY
331,77,458,75,458,97,331,99,DELIVERY
665,406,724,406,724,423,665,424,CHUYEN
836,258,934,256,934,272,836,274,8478000669
705,1130,774,1128,775,1143,705,1145,CUSTOMER
224,218,258,218,258,236,224,236,TOA
268,264,306,264,306,281,268,280,3915
128,1210,201,1209,202,1229,129,1230,SIGNATURE
118,266,161,265,161,283,118,285,THOAI
135,219,205,218,205,238,135,239,(ADDRESS)
708,374,742,374,741,392,707,391,LAO
212,341,292,340,293,359,212,360,CCUSTOMER)
256,628,396,626,396,645,257,647,EB-PI10OCSEGWN
461,376,521,376,521,395,461,394,NGUYEN
143,200,247,199,247,215,143,216,ELECTRONICS
622,429,687,428,687,447,622,448,TRANSFER
370,36,438,35,438,67,370,67,GIAO
177,699,243,699,243,717,177,717,9060080
145,1065,180,1065,180,1081,145,1081,CIAO
124,977,168,978,168,998,124,998,TONG
442,33,521,33,521,66,442,66,HANG
281,39,366,36,367,67,282,69,PHIEU
192,176,257,176,257,190,192,191,ELECTRONICS
861,1105,907,1104,908,1122,862,1123,QUAN
167,343,213,343,213,363,167,362,HANG
851,403,910,402,910,420,852,421,CHUYEN
163,263,202,263,202,285,163,285,(TEL)
462,73,533,72,533,97,463,97,NOTE
750,169,794,170,794,189,750,189,HANG
602,71,696,71,697,96,602,97,SALES)
625,887,666,886,666,905,625,906,DON
