500,1056,574,1057,573,1074,500,1073,SAMSUNG
740,94,796,93,796,113,740,113,(SERIAL)
618,31,726,31,726,69,618,68,DOANH)
404,233,451,233,451,251,403,251,THANH
115,191,219,191,219,207,115,208,ELECTRONICS
514,71,578,71,578,100,514,100,(FOR
238,256,280,257,280,274,238,273,3915
654,195,720,194,720,212,654,212,DELIVERY
337,365,438,366,438,384,337,382,01255883393
92,596,239,595,239,613,92,614,00123P019060:2994
690,173,727,172,728,189,690,190,GIAO
375,1189,453,1175,460,1218,382,1232,LON
815,194,882,194,882,212,815,212,DELIVERY
820,307,893,308,893,326,819,325,CURRENCY
231,1057,274,1059,273,1076,230,1075,BANG
370,211,423,213,423,231,369,229,DONG
95,1207,167,1206,167,1226,95,1226,SIGNATURE
113,356,183,356,182,376,113,375,CADDRESS)
597,1057,627,1059,626,1073,596,1071,QUY
89,257,133,256,133,274,90,275,THOAI
733,1179,789,1173,793,1211,737,1217,BAAL
44,191,117,191,117,207,44,207,SAMSUNG
595,429,659,428,660,446,595,447,TRANSFER
413,102,463,103,463,124,413,123,LIEN
110,996,151,995,152,1012,111,1013,TOTAL
496,101,551,104,550,126,495,123,COPY
421,30,501,32,500,65,420,64,HANG
251,514,339,513,340,530,252,532,DESCRIPTION
259,34,344,32,345,63,260,65,PHIEU
290,489,335,490,335,509,290,508,HANG
790,488,841,488,841,505,790,505,THANH
68,60,186,58,186,80,68,82,SAMSUNG
831,428,892,428,892,445,832,445,TRANSFER
581,71,676,72,676,98,581,97,SALES)
164,167,231,168,231,183,164,182,ELECTRONICS
108,210,178,211,178,230,108,230,(ADDRESS)
309,72,436,72,436,94,309,94,DELIVERY
182,334,262,333,262,352,182,352,(CUSTOMER
336,319,372,318,373,338,336,338,MB3
340,342,390,342,390,360,340,360,00038
278,256,319,256,319,274,278,274,7310
98,437,157,436,158,454,98,455,PRODUCT
245,191,285,191,285,207,245,207,THAI
441,71,511,72,511,96,441,95,NOTE
606,489,643,489,643,506,606,506,DON
665,227,757,228,757,248,665,247,2019-07-02
419,191,466,191,465,208,419,207,HCMC
663,1146,731,1146,731,1178,663,1179,BONY
197,211,231,211,231,229,197,228,BOA
47,258,88,257,88,274,47,275,DIEN
458,881,506,882,505,902,457,901,KEM
465,191,530,192,529,207,465,207,BRANCH
349,32,416,33,416,64,349,64,GIAO
109,1060,145,1058,145,1075,110,1077,CIAO
134,255,173,254,173,276,134,276,(TEL)
64,1077,106,1077,106,1095,64,1096,HANG
272,1057,321,1059,321,1076,271,1074,CHUNG
501,168,528,168,528,182,501,182,MINH
143,1058,185,1058,185,1076,143,1076,HANG
92,1040,128,1041,128,1058,92,1058,LONG
284,190,351,191,351,207,284,207,NGUYEN
425,211,459,211,459,229,425,229,HAI
772,428,811,428,812,445,772,446,DATE
639,405,698,404,698,421,639,423,CHUYE'N
471,343,503,344,503,360,470,359,TRAN
88,973,133,974,132,994,88,993,TONG
408,166,445,165,445,182,408,183,THANH
686,1069,711,1071,709,1086,685,1084,CHI
434,512,503,511,504,532,435,532,QUANTITY
46,281,79,281,79,299,47,299,FAX
418,428,489,428,489,446,419,446,SALESMAN
415,1102,475,1101,475,1120,415,1121,CHUYEN
434,1040,479,1038,479,1053,435,1055,CHIN
241,1125,324,1125,324,1142,241,1143,WAREHOUSE
637,514,678,512,679,529,638,530,PRICE
613,1098,662,1101,661,1120,611,1117,MST:
84,483,121,483,121,500,84,499,DON
865,74,962,73,962,88,865,89,S/2016-HCM
486,233,530,233,530,251,486,250,HCM
560,342,610,343,610,361,560,361,HUYEN
838,229,931,229,931,245,838,245,8477872491
258,233,290,233,290,251,258,250,BEN
138,335,182,336,182,354,138,354,HANG
777,115,883,116,882,138,777,137,0299317
507,882,551,883,551,901,507,901,THEO
443,167,466,167,465,183,443,182,PHO
239,280,280,281,280,298,239,297,3915
264,404,315,405,315,422,264,421,KHACH
279,280,319,281,318,298,279,297,7402
638,881,684,881,684,900,638,900,VAT
518,34,613,32,613,68,519,69,(P.KINH
728,170,773,172,773,191,728,189,HANG
714,1072,748,1074,747,1089,713,1087,TRAN
425,1057,465,1058,465,1074,425,1073,HANG
553,882,592,882,593,901,553,901,HOA
594,883,635,883,635,901,594,901,DON
826,405,887,404,887,421,826,422,CHUYEN
281,1039,328,1040,328,1057,280,1056,KHONG
133,974,174,975,174,993,133,993,CONG
380,1125,472,1123,472,1141,381,1143,TRANSPORTER
109,1243,154,1244,153,1263,109,1263,NGAY
506,343,537,343,537,360,505,360,TAN
371,166,408,166,408,183,370,183,THANH
305,166,350,166,350,183,305,182,NGUYEN
673,342,706,342,706,361,673,361,TINH
778,404,825,405,824,423,778,423,NGAY
258,488,291,489,291,506,258,506,TEN
215,1040,256,1040,255,1057,214,1057,HANG
54,381,96,381,96,398,54,398,DIEN
321,1058,352,1058,352,1073,321,1073,CIA
184,1059,215,1059,215,1075,184,1075,NAY
199,1076,240,1076,240,1093,199,1093,HANG
490,406,526,406,526,421,490,421,VITA
257,167,283,167,282,183,257,182,NAM
96,1158,134,1157,135,1176,97,1178,CHAR
612,342,645,343,645,361,612,360,TAN
89,333,137,334,137,352,88,350,KHACH
544,1123,583,1122,584,1141,545,1141,GATE
95,381,140,380,141,397,95,398,THAI
316,404,361,406,360,424,315,422,HANG
87,414,120,414,120,432,87,432,SAN
290,232,339,233,338,253,290,252,NGHE
339,233,382,233,382,251,339,251,JUAN
531,1075,561,1075,561,1090,531,1090,CAI
600,512,637,512,637,529,600,529,UNIT
111,1266,151,1265,151,1283,112,1284,DATE
482,167,501,167,501,182,482,182,CHI
280,166,308,167,308,183,280,182,THAI
800,513,863,512,863,528,800,529,AMOUNT
625,1026,667,1030,666,1043,624,1040,WWW
580,405,617,406,616,422,580,421,DON
351,189,412,191,411,209,350,207,CO.LTD
256,1040,281,1040,281,1055,256,1055,KHI
460,211,510,212,509,230,459,229,THIEU
508,319,543,320,543,337,508,336,FAN
447,342,469,342,469,360,447,360,CHI
232,166,258,166,258,183,232,183,DIET
366,1075,399,1076,399,1090,366,1090,VIC
127,1040,175,1040,175,1058,127,1058,HONG
351,167,371,167,371,182,351,182,CHI
262,1076,292,1076,292,1092,262,1092,LAM
465,1058,500,1058,500,1073,465,1074,FICA
118,415,168,413,169,433,119,434,PHAM
644,171,688,171,688,190,644,190,NGAY
837,1122,901,1124,900,1140,837,1139,MANAGER
379,1101,414,1101,414,1119,379,1119,VAN
118,167,167,168,167,183,118,182,SAMSUNG
399,1076,433,1076,433,1090,399,1091,DEM
79,212,106,212,106,228,79,229,CHI
350,1057,386,1058,386,1072,350,1072,VIEC
158,1077,198,1076,199,1092,159,1093,NHAN
66,1058,109,1059,109,1075,66,1075,PHIEU
811,73,863,73,863,88,811,89,SEVT
491,1075,528,1075,528,1090,491,1090,THIEU
336,1075,366,1075,366,1091,336,1090,CHO
47,213,78,212,78,229,47,229,DIA
54,335,87,335,87,351,54,351,TEN
382,1040,412,1039,412,1053,382,1053,DON
765,74,808,74,808,89,765,89,HIEU:
